political_party,sitting_year,keyword,score
ανεξαρτητοι (εκτος κομματος),2014,οποι,0.5648222109716109
ανεξαρτητοι (εκτος κομματος),2014,πολιτικ,0.8237871519270972
ανεξαρτητοι (εκτος κομματος),2014,πρεπ,0.8230175935210351
ανεξαρτητοι (εκτος κομματος),2014,προεδρ,0.1842141502070575
ανεξαρτητοι (εκτος κομματος),2014,τραπεζ,0.13528390483889902
ανεξαρτητοι (εκτος κομματος),2014,υγει,0.3956928213942681
ανεξαρτητοι (εκτος κομματος),2015,προεδρ,0.2734932331709886
ανεξαρτητοι (εκτος κομματος),2015,υπουργ,0.2317440699823842
ανεξαρτητοι (εκτος κομματος),2016,μου,0.53874430088287
ανεξαρτητοι (εκτος κομματος),2016,νομοσχεδι,0.11295622904168116
ανεξαρτητοι (εκτος κομματος),2016,πολιτικ,0.09916292526609782
ανεξαρτητοι (εκτος κομματος),2016,πρεπ,0.3020047012316042
ανεξαρτητοι (εκτος κομματος),2016,προεδρ,1.0824882901725887
ανεξαρτητοι (εκτος κομματος),2016,τραπεζ,0.6991252923069275
ανεξαρτητοι (εκτος κομματος),2016,υγει,0.22480420592687925
ανεξαρτητοι (εκτος κομματος),2016,υπουργ,0.6528964178616548
ανεξαρτητοι (εκτος κομματος),2017,αρθρ,0.11545797762096793
ανεξαρτητοι (εκτος κομματος),2017,μου,1.3646438088500301
ανεξαρτητοι (εκτος κομματος),2017,νομοσχεδι,1.0846406423846817
ανεξαρτητοι (εκτος κομματος),2017,οποι,1.3016808395303316
ανεξαρτητοι (εκτος κομματος),2017,πολιτικ,0.714080887378703
ανεξαρτητοι (εκτος κομματος),2017,πρεπ,0.5976971035916745
ανεξαρτητοι (εκτος κομματος),2017,προεδρ,1.2786304567919136
ανεξαρτητοι (εκτος κομματος),2017,τραπεζ,0.4670823113345208
ανεξαρτητοι (εκτος κομματος),2017,υγει,1.4147248745450305
ανεξαρτητοι (εκτος κομματος),2017,υπουργ,1.5609066238450815
